time mi_pulso
4.492307692308e-09 1.456319395317e-02
4.507692307692e-09 -1.504130463142e-02
4.523076923077e-09 -4.156302755465e-02
4.538461538462e-09 -5.586246581458e-02
4.553846153846e-09 -5.225634205177e-02
4.569230769231e-09 -3.064923234058e-02
4.584615384615e-09 3.032976247907e-03
4.600000000000e-09 3.836642607255e-02
4.615384615385e-09 6.354848375362e-02
4.630769230769e-09 6.920863679928e-02
4.646153846154e-09 5.171898801262e-02
4.661538461538e-09 1.488770652194e-02
4.676923076923e-09 -3.064303889949e-02
4.692307692308e-09 -7.028767510668e-02
4.707692307692e-09 -8.995685464538e-02
4.723076923077e-09 -8.075427978157e-02
4.738461538462e-09 -4.245156875990e-02
4.753846153846e-09 1.547737999072e-02
4.769230769231e-09 7.582286513748e-02
4.784615384615e-09 1.182865981063e-01
4.800000000000e-09 1.256404710394e-01
4.815384615385e-09 8.966894732236e-02
4.830769230769e-09 1.508521045428e-02
4.846153846154e-09 -7.993954244549e-02
4.861538461538e-09 -1.671141644154e-01
4.876923076923e-09 -2.146349658001e-01
4.892307692308e-09 -1.954894628055e-01
4.907692307692e-09 -9.529788013931e-02
4.923076923077e-09 8.247640201729e-02
4.938461538462e-09 3.155225228340e-01
4.953846153846e-09 5.664034909439e-01
4.969230769231e-09 7.902828703959e-01
4.984615384615e-09 9.448493383674e-01
5.000000000000e-09 1.000000000000e+00
5.015384615385e-09 9.448493383674e-01
5.030769230769e-09 7.902828703959e-01
5.046153846154e-09 5.664034909439e-01
5.061538461538e-09 3.155225228340e-01
5.076923076923e-09 8.247640201729e-02
5.092307692308e-09 -9.529788013931e-02
5.107692307692e-09 -1.954894628055e-01
5.123076923077e-09 -2.146349658001e-01
5.138461538462e-09 -1.671141644154e-01
5.153846153846e-09 -7.993954244549e-02
5.169230769231e-09 1.508521045428e-02
5.184615384615e-09 8.966894732236e-02
5.200000000000e-09 1.256404710394e-01
5.215384615385e-09 1.182865981063e-01
5.230769230769e-09 7.582286513748e-02
5.246153846154e-09 1.547737999072e-02
5.261538461538e-09 -4.245156875990e-02
5.276923076923e-09 -8.075427978157e-02
5.292307692308e-09 -8.995685464538e-02
5.307692307692e-09 -7.028767510668e-02
5.323076923077e-09 -3.064303889949e-02
5.338461538462e-09 1.488770652194e-02
5.353846153846e-09 5.171898801262e-02
5.369230769231e-09 6.920863679928e-02
5.384615384615e-09 6.354848375362e-02
5.400000000000e-09 3.836642607255e-02
5.415384615385e-09 3.032976247905e-03
5.430769230769e-09 -3.064923234058e-02
5.446153846154e-09 -5.225634205177e-02
5.461538461538e-09 -5.586246581458e-02
5.476923076923e-09 -4.156302755465e-02
5.492307692308e-09 -1.504130463142e-02
5.507692307692e-09 1.456319395317e-02
5.523076923077e-09 3.772204110070e-02
5.538461538462e-09 4.751695396599e-02
5.553846153846e-09 4.164661160617e-02
5.569230769231e-09 2.287656134375e-02
5.584615384615e-09 -2.119011883677e-03
